ID,Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
64376,IKZF5,-1.732540294,8.891333067,-12.47928361,1.80E-22,3.94E-18,40.24741005
7200,TRH,-4.97986944,5.818126832,-11.03783915,2.85E-19,2.13E-15,33.15332094
5926,ARID4A,-1.740276652,8.933037162,-11.03367988,2.91E-19,2.13E-15,33.13264799
114928 /// 100528062,,-2.345192944,9.952225233,-10.05942288,4.47E-17,2.45E-13,28.27245181
3099,HK2,3.171556866,11.19177861,9.93721151,8.42E-17,3.68E-13,27.66139792
56948,SDR39U1,-1.318511179,10.74788285,-9.839958571,1.39E-16,5.08E-13,27.17512521
493753,COA5,-1.055543605,10.9251055,-9.806076823,1.66E-16,5.18E-13,27.00572167
5178,PEG3,-4.375261602,8.793262333,-9.778063706,1.92E-16,5.24E-13,26.86566605
60680,CELF5,-2.877763086,7.408785299,-9.67293307,3.30E-16,8.03E-13,26.34011788
84848 /// 494336 /// 574506,,-4.061693421,6.581982298,-9.636522145,3.98E-16,8.58E-13,26.15813283
3308,HSPA4,1.350675339,11.87328324,9.621096397,4.32E-16,8.58E-13,26.08103993
3953 /// 54741,,-3.082887655,9.438115305,-9.599976425,4.81E-16,8.78E-13,25.97549584
54065,SMIM11A,-1.435424634,8.502133545,-9.50729295,7.77E-16,1.31E-12,25.51242804
79804,HAND2-AS1,-4.306839858,6.934150704,-9.464351969,9.70E-16,1.52E-12,25.29795212
23584,VSIG2,-3.404074682,7.053884303,-9.414627229,1.25E-15,1.73E-12,25.04965525
3838,KPNA2,1.505332462,13.02515603,9.402593351,1.33E-15,1.73E-12,24.98957571
5648,MASP1,-2.189811628,7.043186988,-9.400831189,1.35E-15,1.73E-12,24.98077842
100505851,LOC100505851,-2.652620898,6.592336744,-9.306255027,2.19E-15,2.67E-12,24.50877145
121601,ANO4,-2.652574069,6.653667735,-9.263499698,2.73E-15,3.11E-12,24.29549386
84920 /// 144245,,-1.438228759,9.017141165,-9.25619481,2.84E-15,3.11E-12,24.25906173
84900,RNFT2,2.160946235,8.292521318,9.145369455,5.03E-15,5.24E-12,23.70661032
57575,PCDH10,-3.785763684,5.82690088,-9.115640648,5.86E-15,5.83E-12,23.55851023
10460,TACC3,2.698635425,8.323252005,9.096495512,6.46E-15,6.15E-12,23.46315767
3418,IDH2,2.386494727,10.41933869,9.047480486,8.32E-15,7.58E-12,23.21912297
100507098,ADAMTS9-AS2,-3.027827393,7.416613401,-9.026364295,9.27E-15,8.12E-12,23.1140295
403340,MGC70870,-2.21597854,9.641844921,-9.014134234,9.88E-15,8.31E-12,23.05317273
1072,CFL1,1.396051249,15.44945347,9.003946536,1.04E-14,8.43E-12,23.00248514
